weeks_at_number_one,overall_rating,divisiveness,cdr_genre,artist_structure,multiple_lead_vocalists,group_named_after_non_lead_singer,posthumous,front_person_age,artist_male,artist_white,artist_black,songwriter_male,songwriter_white,artist_is_a_songwriter,artist_is_only_songwriter,producer_male,producer_white,artist_is_a_producer,artist_is_only_producer,songwriter_is_a_producer,time_signature,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,acousticness,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,accordion,banjo,bongos,clarinet,cowbell,falsetto_vocal,flute_piccolo,handclaps_snaps,harmonica,human_whistling,kazoo,mandolin,pedal_lap_steel,ocarina,saxophone,sitar,trumpet,ukulele,violin,rap_verse_in_a_non_rap_song,length_sec,instrumental,instrumental_length_sec,intro_length_sec,vocal_introduction,free_time_vocal_introduction,fade_out,live,cover,sample,interpolation,inspired_by_a_different_song,lyrical_topic,lyrical_narrative,spoken_word,explicit,foreign_language,written_for_a_play,written_for_a_film,written_for_a_t_v_show,associated_with_dance,topped_the_charts_by_multiple_artist,eurovision_entry
2,4,1.3333333333333333,Pop;Rock,1,0,0,0,18,1,1,0,0,1,0,0,1,1,1,0,0,4/4,C,155,33,54,80,-12,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,12,12,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
6,4.333333333333333,2.6666666666666665,Pop,1,0,0,0,35,1,0,1,1,1,0,0,1,1,0,0,0,3/4,Eb,71,15,33,61,-18,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,3,0,0,0,0,0,0,1,1,Love,0,0,0,0,0,0,0,0,0,0
2,8,1.3333333333333333,Pop,1,0,0,0,25,1,1,0,1,1,1,0,1,1,0,0,0,Free;6/8,B,127,43,44,36,-10,86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,24,1,1,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
1,4,2,Folk/Country,0,0,0,0,24.333333333333332,1,1,0,1,1,0,0,1,1,0,0,0,4/4,E,126,14,63,52,-15,83,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,7,31,1,0,0,0,1,0,0,1,Murder;Death,1,1,0,0,0,0,0,0,0,0
3,8,0,Pop,0,0,0,0,18,2,1,0,1,1,1,1,1,1,1,1,1,12/8,Multiple Keys,175,20,32,35,-16,89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,8,8,0,0,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
4,2.6666666666666665,2.6666666666666665,Pop,0,0,0,0,39,1,0,0,1,0,1,1,1,0,1,1,1,3/4,Ab,153,37,61,78,-12,71,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,28,19,0,0,1,0,0,0,0,0,Christmas,0,0,0,0,0,0,0,0,0,0
3,8.666666666666666,0.6666666666666666,Pop,0,0,0,0,30,2,0,1,1,1,0,0,1,1,0,0,0,4/4,Multiple Keys,113,27,32,26,-11,93,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,16,8,0,0,0,0,1,0,0,1,Lost Love,0,0,0,0,1,0,0,0,0,0
4,7,2,Rock,1,0,0,0,25,1,0,1,1,0,1,0,1,1,0,0,0,Free;4/4,Eb,71,62,36,79,-8,74,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,32,13,1,1,1,0,1,0,0,1,Murder;Death,1,0,0,0,0,0,0,0,0,0
5,2.3333333333333335,0.6666666666666666,Pop,1,0,0,0,18,1,1,0,1,1,0,0,1,1,0,0,0,4/4,Bb,115,48,56,75,-10,73,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,23,16,0,0,0,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
4,8,0,Pop,0,0,0,0,19,2,1,0,2,1,1,1,1,1,1,0,0,4/4,Db,123,9,60,67,-18,93,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,15,0,0,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
2,6.666666666666667,0.6666666666666666,Rock,1,0,0,0,30,1,0,1,1,1,0,0,1,0,0,0,0,4/4,Db,115,67,73,91,-6,65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,33,7,0,0,1,0,1,0,0,1,Lust/Sex,0,0,0,0,0,0,0,0,0,0
6,1.3333333333333333,0.6666666666666666,Folk/Country;March,1,0,0,0,34,1,1,0,1,1,0,0,1,1,0,0,0,4/4,A,89,75,70,92,-12,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,26,8,0,0,1,0,0,0,1,1,War,1,0,0,0,0,0,0,0,0,0
4,4,0,Pop,1,0,0,0,17,1,1,0,1,1,1,1,1,1,0,0,0,3/4,C,106,61,62,80,-10,35,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,19,6,0,0,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
2,6,1.3333333333333333,Rock,1,0,0,0,24,1,1,0,1,2,0,0,1,1,0,0,0,4/4,C,87,93,55,96,-8,82,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,40,4,0,0,1,0,0,0,0,0,Lust/Sex,0,0,0,0,0,0,0,0,0,0
4,5.333333333333333,3.3333333333333335,Pop;Folk/Country,0,0,0,0,25,2,1,0,1,1,0,0,1,1,0,0,0,Free;4/4,G,106,33,46,32,-10,83,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,19,0,0,0,0,1,0,0,1,Life;Death,1,0,0,0,0,0,0,0,0,0
9,8.333333333333334,2.6666666666666665,Jazz,1,0,0,0,23,1,1,0,1,1,0,0,1,1,0,0,0,4/4,Multiple Keys,83,53,55,46,-12,76,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,12,6,0,0,0,0,1,0,0,1,Murder;Death,0,0,0,0,0,0,0,0,0,0
1,4.666666666666667,1.3333333333333333,Pop,0,0,0,0,19,2,1,0,1,1,0,0,2,1,0,0,0,Free;4/4,E,97,9,37,21,-17,93,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,34,1,1,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
