overall_rating,divisiveness,multiple_lead_vocalists,front_person_age,artist_is_a_songwriter,artist_is_a_producer,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,falsetto_vocal,handclaps_snaps,saxophone,length_sec,vocal_introduction,fade_out,cover,sample,interpolation,inspired_by_a_different_song,spoken_word,explicit,log_weeks_at_number_one,log_acousticness,Electronic/Dance,Funk/Soul,Hip Hop,Pop,Rock
6.333333333333333,2,0,26,1,0,Major,111,66,73,82,-7,0,1,1,1,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0.6931471805599453,1.3862943611198906,0,0,0,0,1
6,0,0,35,1,0,Minor,108,85,70,81,-6,0,0,1,0,0,1,0,1,1,391,0,1,0,0,0,0,0,0,1.0986122886681098,3.713572066704308,0,1,0,0,0
6,0,0,35,1,0,Minor,108,85,70,81,-6,0,0,1,0,0,1,0,1,1,391,0,1,0,0,0,0,0,0,1.0986122886681098,3.713572066704308,1,0,0,0,0
4.333333333333333,2,0,19,0,0,Major,111,61,50,31,-8,0,0,1,1,1,0,0,0,0,147,0,1,0,0,0,0,0,0,1.0986122886681098,2.5649493574615367,0,0,0,0,1
7.666666666666667,1.3333333333333333,1,31,1,0,Major,73,45,53,29,-15,0,0,0,1,1,0,0,0,0,382,0,0,0,0,0,0,0,0,1.6094379124341003,2.995732273553991,0,0,0,1,0
7,0,0,26,1,0,Major,123,59,76,33,-10,0,0,1,1,0,0,0,0,0,194,0,1,0,0,0,0,1,0,1.791759469228055,3.912023005428146,0,0,0,0,1
6.666666666666667,1.3333333333333333,0,40,1,1,Minor,160,82,65,96,-5,0,0,0,1,0,0,0,1,0,232,0,0,0,0,0,0,0,0,2.3978952727983707,3.1354942159291497,0,1,0,0,0
7.666666666666667,0.6666666666666666,1,19,1,1,Minor,98,59,67,93,-4,0,0,0,0,1,0,0,0,0,216,1,0,0,0,0,0,1,0,2.4849066497880004,3.58351893845611,0,1,0,0,0
10,0,0,23,1,0,Major,123,85,52,75,-7,0,0,1,0,0,0,1,0,0,189,0,1,0,0,0,0,0,0,0.6931471805599453,1.791759469228055,0,0,0,0,1
5.333333333333333,1.3333333333333333,1,24.333333333333332,0,0,Major,125,95,48,28,-4,0,0,1,0,0,0,0,1,0,167,0,1,1,0,0,1,0,0,1.0986122886681098,3.6375861597263857,0,0,0,0,1
10,0,1,31,0,0,Major,92,24,43,46,-15,0,0,1,0,1,1,0,0,0,228,0,1,0,0,0,0,0,0,1.0986122886681098,4.51085950651685,0,1,0,0,0
9.333333333333334,0.6666666666666666,0,25,1,0,Major,102,40,76,51,-11,0,0,1,1,1,1,1,0,0,199,0,1,0,0,0,0,0,0,0.6931471805599453,4.060443010546419,0,1,0,0,0
6,1.3333333333333333,0,24,0,0,Major,87,93,55,96,-8,0,0,1,1,0,0,0,0,0,141,0,1,0,0,0,0,0,0,1.0986122886681098,4.418840607796598,0,0,0,0,1
7,1.3333333333333333,0,33,1,1,Major,122,58,69,89,-11,0,0,1,0,0,0,0,0,0,187,0,1,0,0,1,1,0,0,0.6931471805599453,3.4339872044851463,0,0,0,0,1
5.666666666666667,0.6666666666666666,0,40,1,1,Major,145,97,71,89,-5,0,0,1,0,0,0,0,0,0,245,0,1,0,0,1,1,0,0,1.0986122886681098,2.1972245773362196,0,0,0,0,1
6,0,0,29,0,0,Major,123,81,64,80,-10,0,0,1,0,0,0,0,0,0,247,0,1,0,0,0,0,0,0,0.6931471805599453,1.3862943611198906,0,0,0,0,1
8,0,0,24,1,1,Major,96,48,89,61,-12,0,0,1,0,0,0,0,1,0,194,0,0,0,0,1,1,0,0,1.6094379124341003,0.6931471805599453,0,0,0,1,0
5.666666666666667,1.3333333333333333,0,14,1,0,Major,105,94,69,67,-7,0,0,1,0,0,0,0,0,0,238,0,1,0,1,0,1,0,0,1.3862943611198906,0,0,0,0,1,0
