term,estimate,std.error,statistic,p.value,direction
Energy,-0.11896017818792974,0.034448489126796926,-3.453277087133338,5.898875102049315e-4,Negative
Loudness D B,0.0960171060096091,0.028668785891153823,3.349186337159698,8.574761475411766e-4,Positive
Sample,0.06336163439196023,0.03765083510176744,1.682874608775566,0.09288106749419772,Positive
Overall Rating,0.06130857187945891,0.020280820099377,3.0229828763848765,0.002601788286330868,Positive
Vocal Introduction,0.057642630588427723,0.020792157474393457,2.772325606874486,0.005725656433473304,Positive
Horns Winds,-0.05353884312481994,0.022119969877796783,-2.420384992411779,0.015778011271977914,Negative
Handclaps Snaps,0.04563289699182698,0.01942920452445704,2.3486755175378042,0.019139813849127878,Positive
Guitar Based,-0.03762906025099977,0.02313407932719049,-1.6265639846221458,0.10431588916732298,Negative
Interpolation,0.03500731088989843,0.04319868257588762,0.8103791320117388,0.41801981297148316,Positive
Artist Is A Songwriter,0.034906000429088216,0.0252471138929103,1.3825738885302945,0.16727184583005988,Positive
Multiple Lead Vocalists,0.029213431719251164,0.020453170768892557,1.4283082094871167,0.15368495883769306,Positive
Vocally Based,0.021888025212209034,0.019887297310489126,1.1006033082567066,0.2714780178574978,Positive
Log Acousticness,-0.019811937744072774,0.023599167189610977,-0.8395185128733929,0.40148801596705486,Negative
Explicit,0.019255232904401846,0.024480762476782332,0.7865454731103084,0.43183553380782413,Positive
Rock,-0.018202654932443225,0.040350816274011866,-0.4511099554674122,0.6520612220830169,Negative
